source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,3286958080.0,4275080960.0,9e+19,3.4528822898864746
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1443332096.0,9714698752.0,9e+19,3.618006229400635
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,73404514304.0,447244032.0,1.8e+20,3.2847225666046143
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1189281792.0,11788433408.0,9e+19,3.6691410541534424
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,14805106688.0,1934716160.0,1.8e+20,3.274052381515503
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,46723497984.0,669160448.0,1.8e+20,3.2226548194885254
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,5278662656.0,5318048256.0,1.8e+20,3.312819480895996
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,6573916160.0,4275080960.0,1.8e+20,3.296725273132324
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,8326217728.0,3383110656.0,1.8e+20,3.2796261310577393
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,3453616128.0,8112833792.0,1.8e+20,3.3990893363952637
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,133557125120.0,272513792.0,1.8e+20,3.4362382888793945
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,21119893504.0,1384584448.0,1.8e+20,3.1873393058776855
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,29895950336.0,998036992.0,1.8e+20,3.1997082233428955
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,4178444288.0,6701811712.0,1.8e+20,3.3725128173828125
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2886664192.0,9714698752.0,1.8e+20,3.426795959472656
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2378563584.0,11788433408.0,1.8e+20,3.464399576187134
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,11170480128.0,2544614912.0,1.8e+20,3.226104736328125
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1387692032.0,3383110656.0,3e+19,3.685892105102539
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,7787380736.0,669160448.0,3e+19,3.505201816558838
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,3519938560.0,1384584448.0,3e+19,3.542515516281128
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,43049287680.0,156508160.0,3e+19,3.7524490356445312
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2467495936.0,1934716160.0,3e+19,3.570661783218384
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,22259171328.0,272513792.0,3e+19,3.559680461883545
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1861746688.0,2544614912.0,3e+19,3.6291911602020264
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,4982571008.0,998036992.0,3e+19,3.4931461811065674
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,12233998336.0,447244032.0,3e+19,3.492298126220703
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1095663616.0,4275080960.0,3e+19,3.7283153533935542
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,18195939328.0,210054272.0,1.8e+19,3.671673536300659
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1250361344.0,1180038272.0,9e+18,3.788234233856201
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2336227328.0,669160448.0,9e+18,3.707989692687988
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1494777856.0,998036992.0,9e+18,3.76473331451416
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1576304640.0,358306688.0,3e+18,3.918935060501098
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2904358912.0,550337664.0,9e+18,3.711398124694824
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,4728946688.0,358306688.0,9e+18,3.691041946411133
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,3032612864.0,210054272.0,3e+18,3.9519667625427246
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,7340425216.0,447244032.0,1.8e+19,3.58897066116333
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2500722688.0,1180038272.0,1.8e+19,3.6167867183685303
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,6677856256.0,272513792.0,9e+18,3.730374336242676
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,13355712512.0,272513792.0,1.8e+19,3.629035472869873
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1223393280.0,447244032.0,3e+18,3.925891876220703
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2989555712.0,998036992.0,1.8e+19,3.607290744781494
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,5808717824.0,550337664.0,1.8e+19,3.573185682296753
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1799094272.0,1613248384.0,1.8e+19,3.686477661132813
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1480491008.0,1934716160.0,1.8e+19,3.71248197555542
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,25829572608.0,156508160.0,1.8e+19,3.771472692489624
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,12914786304.0,156508160.0,9e+18,3.844071388244629
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,3612672000.0,837007744.0,1.8e+19,3.5963940620422363
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1281916928.0,2224985216.0,1.8e+19,3.7350106239318848
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,4304928768.0,156508160.0,3e+18,3.9702630043029785
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,9097969664.0,210054272.0,9e+18,3.7540283203125
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,9457893376.0,358306688.0,1.8e+19,3.5687594413757324
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2225930240.0,272513792.0,3e+18,3.9073314666748047
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,4672454656.0,669160448.0,1.8e+19,3.5582828521728516
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1806336000.0,837007744.0,9e+18,3.752978801727295
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,3670212608.0,447244032.0,9e+18,3.7123465538024902
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,2111995904.0,1384584448.0,1.8e+19,3.665910243988037
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,1117061120.0,2544614912.0,1.8e+19,3.755157470703125
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,3964207104.0,11788433408.0,3e+20,3.355804681777954
marin_202603,chinchilla,comma,llama_2,,marin_202603__comma__llama_2,4811128832.0,9714698752.0,3e+20,3.2964468002319336
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,11170480128.0,2544614912.0,1.8e+20,3.0450022220611572
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1189281792.0,11788433408.0,9e+19,3.4797654151916504
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2886664192.0,9714698752.0,1.8e+20,3.241903305053711
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1443332096.0,9714698752.0,9e+19,3.438182830810547
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,12914786304.0,156508160.0,9e+18,3.710874557495117
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1576304640.0,358306688.0,3e+18,3.7699735164642334
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,4163108864.0,3383110656.0,9e+19,3.240170955657959
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,6677856256.0,272513792.0,9e+18,3.578904628753662
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,14805106688.0,1934716160.0,1.8e+20,3.0530948638916016
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2089222144.0,6701811712.0,9e+19,3.366856575012207
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,9457893376.0,358306688.0,1.8e+19,3.41349458694458
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,5808717824.0,550337664.0,1.8e+19,3.400510787963867
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,4982571008.0,998036992.0,3e+19,3.3084075450897217
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,258295201792.0,156508160.0,1.8e+20,3.769139289855957
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,9097969664.0,210054272.0,9e+18,3.61305832862854
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1480491008.0,1934716160.0,1.8e+19,3.530250072479248
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,4304928768.0,156508160.0,3e+18,3.830305814743042
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1799094272.0,1613248384.0,1.8e+19,3.5080246925354004
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1223393280.0,447244032.0,3e+18,3.7627997398376465
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,4728946688.0,358306688.0,9e+18,3.5296027660369873
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1861746688.0,2544614912.0,3e+19,3.457181453704834
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1387692032.0,3383110656.0,3e+19,3.5066263675689697
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,29895950336.0,998036992.0,1.8e+20,3.0546624660491943
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,18617466880.0,2544614912.0,3e+20,2.9606690406799316
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,3453616128.0,8112833792.0,1.8e+20,3.222478151321411
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,7340425216.0,447244032.0,1.8e+19,3.422881841659546
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2111995904.0,1384584448.0,1.8e+19,3.491088390350342
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2467495936.0,1934716160.0,3e+19,3.3868439197540283
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,8326217728.0,3383110656.0,1.8e+20,3.102097272872925
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2225930240.0,272513792.0,3e+18,3.7479562759399414
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,129147863040.0,156508160.0,9e+19,3.604832172393799
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,3032612864.0,210054272.0,3e+18,3.802187442779541
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2639331328.0,5318048256.0,9e+19,3.296894073486328
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2989555712.0,998036992.0,1.8e+19,3.432901382446289
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,21119893504.0,1384584448.0,1.8e+20,3.0375185012817383
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,4672454656.0,669160448.0,1.8e+19,3.3970251083374023
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1806336000.0,837007744.0,9e+18,3.583608627319336
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,22259171328.0,272513792.0,3e+19,3.4246714115142822
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,2378563584.0,11788433408.0,1.8e+20,3.2766289710998535
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1095663616.0,4275080960.0,3e+19,3.551436185836792
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,1117061120.0,2544614912.0,1.8e+19,3.578143835067749
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,430491828224.0,156508160.0,3e+20,3.597215175628662
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,4178444288.0,6701811712.0,1.8e+20,3.1968889236450195
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,3286958080.0,4275080960.0,9e+19,3.267143726348877
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,5585240064.0,2544614912.0,9e+19,3.1771910190582275
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,3519938560.0,1384584448.0,3e+19,3.3613836765289307
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,3670212608.0,447244032.0,9e+18,3.554990291595459
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,12233998336.0,447244032.0,3e+19,3.33266282081604
marin_202603,chinchilla,dclm,llama_2,,marin_202603__dclm__llama_2,25829572608.0,156508160.0,1.8e+19,3.647237777709961
