source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,53802690947.24777,9293215473.0,3e+21,2.2389878269109396
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,39507139708.954346,1265594026.0,3e+20,2.434941196776266
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,4373486033.0733595,1143252765.0,3e+19,2.757359717151634
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,1457829711.8455367,1143251954.0,1e+19,3.094521210858053
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,8746972066.146719,1143252765.0,6e+19,2.616495387341047
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,15817168238.799078,632224419.0,6e+19,2.628284835801397
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,34983734872.21092,1429235620.0,3e+20,2.405931333857799
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,13806751107.523037,724283354.0,6e+19,2.616495387341047
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,3107366288.6535897,1609079695.0,3e+19,2.8242551231206
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,117754954224.7045,424610585.0,3e+20,2.5165346421087142
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,23551046531.84922,424609581.0,6e+19,2.6599757580335908
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,8523716130.344845,586598606.0,3e+19,2.736778556603052
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,20416287631.141094,816341686.0,1e+20,2.566031188935832
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,6124883393.244983,816342072.0,3e+19,2.7697776574701383
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,3925174421.9748697,424609581.0,1e+19,2.962954091342755
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,1316905590.332631,1265593129.0,1e+19,3.131833845205492
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,2636196578.6692123,632223970.0,1e+19,2.998680336233436
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,4614136044.368351,216725296.0,6e+18,3.021224272849423
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,22143184727.392178,4516062221.0,6e+20,2.387978623765955
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,5716153916.704376,174942805.0,6e+18,3.048504933511402
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,28580749325.39857,174942929.0,3e+19,2.8031746497396575
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,9526923194.507294,174942805.0,1e+19,2.940838357413416
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,30718925268.17207,162766111.0,3e+19,2.790606978320643
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,2355104653.1849217,424609581.0,6e+18,3.122463718742479
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,2841240725.0466743,586598190.0,1e+19,2.9852294397432493
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,10357887628.845299,1609079695.0,1e+20,2.5969714788717795
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,12249772578.684656,816341686.0,6e+19,2.628284835801397
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,5987614427.952119,278352370.0,1e+19,2.940838357413416
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,2041629245.7973425,816341493.0,1e+19,3.048504933511402
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,43734798319.8553,1143254386.0,3e+20,2.434941196776266
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,24525637431.444706,6795609987.0,1e+21,2.341916558626986
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,7908584119.399539,632224419.0,3e+19,2.736778556603052
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,10463274663.159498,1592872901.0,1e+20,2.6086671008223323
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,27873589525.292366,1793812740.0,3e+20,2.4276561018218445
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,14578290232.59202,1143252494.0,1e+20,2.554520985765487
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,559373996.8452443,2979521172.0,1e+19,4.665232074214
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,79014167351.61612,1265595821.0,6e+20,2.370154554190775
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,3016690991.060634,552481733.0,1e+19,2.9852294397432493
epochai_chinchilla,chinchilla,massivetext,chinchilla,,epochai_chinchilla__massivetext__chinchilla,39829650813.92927,251069236.0,6e+19,2.6799733296868915
