"Name","parameter_count","throughput/total_tokens","eval/paloma/macro_loss","throughput/total_gflops","trainer.train_batch_size","optimizer.learning_rate","trainer.num_train_steps","model.num_layers","model.hidden_dim"
"isoflop-1e+19-d2304-L23-B8-dclm-default","2544614912","1861746688","3.457181453704834","30000033377.839745","8","0.00040511326005479294","56816","23","2304"
"isoflop-1e+19-d2560-L26-B8-dclm-default","3383110656","1387692032","3.5066263675689697","29999853720.43149","8","0.0003646019340493136","42349","26","2560"
"isoflop-6e+19-d1536-L16-B128-dclm-default","998036992","29895950336","3.0546624660491943","180001226704.09265","128","0.0024306795603287576","57022","16","1536"
"isoflop-1e+20-d2304-L23-B128-dclm-default","2544614912","18617466880","2.9606690406799316","300000333778.3974","128","0.0016204530402191715","35510","23","2304"
"isoflop-6e+19-d3584-L35-B16-dclm-default","8112833792","3453616128","3.222478151321411","179999567354.21527","16","0.00036830357142857145","52698","35","3584"
"isoflop-6e+18-d1024-L11-B32-dclm-default","447244032","7340425216","3.422881841659546","18000141387.01775","32","0.001823009670246568","56003","11","1024"
"isoflop-6e+18-d1792-L18-B8-dclm-default","1384584448","2111995904","3.491088390350342","18000138425.100925","8","0.0005208599057847337","64453","18","1792"
"isoflop-1e+19-d2048-L21-B16-dclm-default","1934716160","2467495936","3.3868439197540283","29999919501.07686","16","0.00064453125","37651","21","2048"
"isoflop-6e+19-d2560-L26-B32-dclm-default","3383110656","8326217728","3.102097272872925","180000539114.1883","32","0.0007292038680986273","63524","26","2560"
"isoflop-1e+18-d768-L8-B16-dclm-default","272513792","2225930240","3.7479562759399414","2999992672.9506817","16","0.00171875","33965","8","768"
"isoflop-3e+19-d512-L6-B128-dclm-default","156508160","129147863040","3.604832172393799","90000182584.00641","128","0.007292038680986272","246330","6","512"
"isoflop-1e+18-d640-L7-B16-dclm-default","210054272","3032612864","3.802187442779541","2999998446.99734","16","0.0020625","46274","7","640"
"isoflop-3e+19-d3072-L30-B16-dclm-default","5318048256","2639331328","3.296894073486328","89999865190.2182","16","0.0004296875","40273","30","3072"
"isoflop-6e+18-d1536-L16-B16-dclm-default","998036992","2989555712","3.432901382446289","17999885918.068016","16","0.000859375","45617","16","1536"
"isoflop-6e+19-d1792-L18-B128-dclm-default","1384584448","21119893504","3.0375185012817383","180000825700.1761","128","0.002083439623138935","40283","18","1792"
"isoflop-6e+18-d1280-L13-B32-dclm-default","669160448","4672454656","3.3970251083374023","18000215153.08106","32","0.0014584077361972543","35648","13","1280"
"isoflop-3e+18-d1408-L15-B8-dclm-default","837007744","1806336000","3.583608627319336","8999938427.977728","8","0.0006629126073623884","55125","15","1408"
"isoflop-1e+19-d768-L8-B128-dclm-default","272513792","22259171328","3.4246714115142822","29999750077.50193","128","0.004861359120657515","42456","8","768"
"isoflop-6e+19-d4096-L40-B16-dclm-default","11788433408","2378563584","3.2766289710998535","180002029485.0199","16","0.000322265625","36294","40","4096"
"isoflop-1e+19-d2816-L28-B8-dclm-default","4275080960","1095663616","3.551436185836792","30000049287.47235","8","0.0003314563036811942","33437","28","2816"
"isoflop-6e+18-d2304-L23-B8-dclm-default","2544614912","1117061120","3.578143835067749","18000231235.049225","8","0.00040511326005479294","34090","23","2304"
"isoflop-1e+20-d512-L6-B128-dclm-default","156508160","430491828224","3.597215175628662","299999877884.7988","128","0.007292038680986272","821098","6","512"
"isoflop-6e+19-d3328-L33-B16-dclm-default","6701811712","4178444288","3.1968889236450195","179999710308.9805","16","0.00039663461538461543","63758","33","3328"
"isoflop-3e+19-d2816-L28-B16-dclm-default","4275080960","3286958080","3.267143726348877","89999250651.2651","16","0.00046875","50155","28","2816"
"isoflop-3e+19-d2304-L23-B32-dclm-default","2544614912","5585240064","3.1771910190582275","90000100133.51923","32","0.0008102265201095859","42612","23","2304"
"isoflop-1e+19-d1792-L18-B16-dclm-default","1384584448","3519938560","3.3613836765289307","29999765249.473904","16","0.0007366071428571429","53710","18","1792"
"isoflop-3e+18-d1024-L11-B16-dclm-default","447244032","3670212608","3.554990291595459","9000070693.508875","16","0.0012890625","56003","11","1024"
"isoflop-1e+19-d1024-L11-B64-dclm-default","447244032","12233998336","3.33266282081604","30000128507.07038","64","0.002578125","46669","11","1024"
"isoflop-6e+18-d512-L6-B128-dclm-default","156508160","25829572608","3.647237777709961","18000036516.80128","128","0.007292038680986272","49266","6","512"
"isoflop-3e+19-d2048-L21-B32-dclm-default","1934716160","7402553344","3.1726317405700684","90000555292.67842","32","0.000911504835123284","56477","21","2048"
"isoflop-6e+18-d640-L7-B128-dclm-default","210054272","18195939328","3.539292097091675","18000250006.740665","128","0.005833630944789018","34706","7","640"
"isoflop-3e+19-d3584-L35-B8-dclm-default","8112833792","1726808064","3.395648956298828","89999783677.10764","8","0.00026042995289236686","52698","35","3584"
"isoflop-1e+20-d2560-L26-B64-dclm-default","3383110656","13877116928","2.99209976196289","300002787579.113","64","0.00103125","52937","26","2560"
"isoflop-1e+20-d2816-L28-B64-dclm-default","4275080960","10956570624","3.0020341873168945","299998698452.4196","64","0.0009375","41796","28","2816"
"isoflop-3e+18-d1664-L17-B8-dclm-default","1180038272","1250361344","3.6152963638305664","8999982039.74674","8","0.0005609260523835594","38158","17","1664"
"isoflop-3e+19-d1536-L16-B64-dclm-default","998036992","14947975168","3.153144359588623","90000613352.04633","64","0.00171875","57022","16","1536"
"isoflop-3e+19-d1792-L18-B64-dclm-default","1384584448","10559946752","3.129154920578003","90000412850.08804","64","0.0014732142857142858","40283","18","1792"
"isoflop-1e+19-d1280-L13-B32-dclm-default","669160448","7787380736","3.3336148262023926","30000190274.06881","32","0.0014584077361972543","59413","13","1280"
"isoflop-1e+19-d512-L6-B128-dclm-default","156508160","43049287680","3.6296346187591553","30000060861.33547","128","0.007292038680986272","82110","6","512"
"isoflop-1e+20-d2048-L21-B128-dclm-default","1934716160","24675090432","2.9694972038269043","300000788589.66425","128","0.001823009670246568","47064","21","2048"
"isoflop-6e+18-d2176-L22-B8-dclm-default","2224985216","1281916928","3.5532870292663574","18000127981.08264","8","0.0004289434518227219","39121","22","2176"
"isoflop-3e+18-d1152-L12-B16-dclm-default","550337664","2904358912","3.5402326583862305","8999992079.50123","16","0.0011458333333333331","44317","12","1152"
"isoflop-3e+18-d1536-L16-B8-dclm-default","998036992","1494777856","3.5991697311401367","8999942959.034008","8","0.0006076698900821894","45617","16","1536"
"isoflop-6e+18-d768-L8-B64-dclm-default","272513792","13355712512","3.4871625900268555","18000132689.708973","64","0.0034375","50948","8","768"
"isoflop-1e+20-d1024-L11-B512-dclm-default","447244032","122339459072","3.127902030944824","299999999415.1934","512","0.007292038680986272","58336","11","1024"
"isoflop-6e+19-d1024-L11-B512-dclm-default","447244032","73404514304","3.1547515392303467","180002056697.93268","512","0.007292038680986272","35002","11","1024"
"isoflop-1e+20-d1280-L13-B512-dclm-default","669160448","77873545216","3.036836624145508","300000892854.29034","512","0.005833630944789018","37133","13","1280"
"isoflop-6e+19-d768-L8-B512-dclm-default","272513792","133557125120","3.3502213954925537","180001326897.08975","512","0.00972271824131503","63685","8","768"
"isoflop-1e+20-d768-L8-B512-dclm-default","272513792","222593810432","3.3152072429656982","300000327207.0975","512","0.00972271824131503","106141","8","768"
"isoflop-3e+19-d1024-L11-B256-dclm-default","447244032","36702257152","3.2032289505004883","90001028348.96634","256","0.00515625","35002","11","1024"
"isoflop-6e+19-d1280-L13-B256-dclm-default","669160448","46723497984","3.0833261013031006","179998111985.21967","256","0.004125","44559","13","1280"
"isoflop-6e+19-d3072-L30-B32-dclm-default","5318048256","5278662656","3.12753963470459","179999730380.4364","32","0.0006076698900821894","40273","30","3072"
"isoflop-1e+20-d1792-L18-B256-dclm-default","1384584448","35199647744","2.971360921859741","299999886698.0717","256","0.0029464285714285716","33569","18","1792"
"isoflop-3e+19-d768-L8-B256-dclm-default","272513792","66778562560","3.3504526615142822","90000663448.54488","256","0.006875","63685","8","768"
"isoflop-1e+20-d1536-L16-B256-dclm-default","998036992","49826234368","2.995382785797119","299999940041.56555","256","0.0034375","47518","16","1536"
"isoflop-3e+19-d1280-L13-B128-dclm-default","669160448","23361748992","3.152735710144043","89999055992.60983","128","0.002916815472394509","44559","13","1280"
"isoflop-3e+18-d1280-L13-B16-dclm-default","669160448","2336227328","3.5337438583374023","9000107576.54053","16","0.00103125","35648","13","1280"
"isoflop-6e+19-d2816-L28-B32-dclm-default","4275080960","6573916160","3.1065750122070312","179998501302.5302","32","0.0006629126073623884","50155","28","2816"
"isoflop-6e+18-d1408-L15-B16-dclm-default","837007744","3612672000","3.4281036853790283","17999876855.955456","16","0.0009375","55125","15","1408"
"isoflop-6e+18-d1664-L17-B16-dclm-default","1180038272","2500722688","3.4394078254699707","17999964079.49348","16","0.0007932692307692309","38158","17","1664"
"isoflop-1e+20-d3072-L30-B64-dclm-default","5318048256","8797814784","3.012202739715576","300001040463.7264","64","0.000859375","33561","30","3072"
"isoflop-1e+20-d3328-L33-B32-dclm-default","6701811712","6964117504","3.06853985786438","300001399295.3591","32","0.0005609260523835594","53132","33","3328"
"isoflop-1e+20-d3584-L35-B32-dclm-default","8112833792","5756026880","3.0844876766204834","299999278923.69214","32","0.0005208599057847337","43915","35","3584"
"isoflop-1e+20-d4096-L40-B16-dclm-default","11788433408","3964207104","3.1718955039978027","299998422921.6776","16","0.000322265625","60489","40","4096"
"isoflop-1e+20-d3840-L37-B32-dclm-default","9714698752","4811128832","3.108232021331787","300001905768.64","32","0.0004861359120657515","36706","37","3840"
