"Name","parameter_count","throughput/total_tokens","eval/paloma/macro_loss","throughput/total_gflops","trainer.train_batch_size","trainer.num_train_steps","learning_rate","model.hidden_dim","model.num_layers"
"isoflop-1e+20-d2560-L26-B64-nemo-wider-depth-adapt","3383110656","13877116928","2.945040464401245","300002787579.113","64","52937","","2560","26"
"isoflop-1e+20-d1536-L16-B256-nemo-wider-depth-adapt","998036992","49826234368","2.9456377029418945","299999940041.56555","256","47518","","1536","16"
"isoflop-1e+20-d3584-L35-B32-nemo-wider-depth-adapt","8112833792","5756026880","3.0414788722991943","299999278923.69214","32","43915","","3584","35"
"isoflop-1e+20-d3072-L30-B64-nemo-wider-depth-adapt","5318048256","8797814784","2.967066764831543","300001040463.7264","64","33561","","3072","30"
"isoflop-3e+19-d3584-L35-B8-nemo-wider-depth-adapt","8112833792","1726808064","3.361323833465576","89999783677.10764","8","52698","","3584","35"
"isoflop-6e+19-d1024-L11-B512-nemo-wider-depth-adapt","447244032","73404514304","3.109830141067505","180002056697.93268","512","35002","","1024","11"
"isoflop-6e+19-d2048-L21-B64-nemo-wider-depth-adapt","1934716160","14805106688","3.002396821975708","180001110585.35684","64","56477","","2048","21"
"isoflop-3e+19-d512-L6-B128-nemo-wider-depth-adapt","156508160","129147863040","3.5591468811035156","90000182584.00641","128","246330","","512","6"
"isoflop-1e+19-d1024-L11-B64-nemo-wider-depth-adapt","447244032","12233998336","3.2958803176879883","30000128507.07038","64","46669","","1024","11"
"isoflop-1e+19-d2048-L21-B16-nemo-wider-depth-adapt","1934716160","2467495936","3.362050294876098","29999919501.07686","16","37651","","2048","21"
"isoflop-3e+19-d4096-L40-B8-nemo-wider-depth-adapt","11788433408","1189281792","3.43941068649292","90001014742.50995","8","36294","","4096","40"
"isoflop-6e+19-d512-L6-B128-nemo-wider-depth-adapt","156508160","258295201792","3.5527689456939697","179999999803.7349","128","492659","","512","6"
"isoflop-1e+19-d512-L6-B128-nemo-wider-depth-adapt","156508160","43049287680","3.59110951423645","30000060861.33547","128","82110","","512","6"
"isoflop-1e+20-d512-L6-B128-nemo-wider-depth-adapt","156508160","430491828224","3.5505361557006836","299999877884.7988","128","821098","","512","6"
"isoflop-3e+19-d2048-L21-B32-nemo-wider-depth-adapt","1934716160","7402553344","3.1255011558532715","90000555292.67842","32","56477","","2048","21"
"isoflop-1e+20-d2048-L21-B128-nemo-wider-depth-adapt","1934716160","24675090432","2.920769214630127","300000788589.66425","128","47064","","2048","21"
"isoflop-3e+19-d1024-L11-B256-nemo-wider-depth-adapt","447244032","36702257152","3.161707878112793","90001028348.96634","256","35002","","1024","11"
"isoflop-1e+20-d4096-L40-B16-nemo-wider-depth-adapt","11788433408","3964207104","3.1236400604248047","299998422921.6776","16","60489","","4096","40"
"isoflop-1e+20-d1024-L11-B512-nemo-wider-depth-adapt","447244032","122339459072","3.084610939025879","299999999415.1934","512","58336","","1024","11"
