method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,alpha,-6.597589857949881e-10,6.597589857949881e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,beta,-7.119215611293928e-10,7.119215611293928e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,E,-1.1378143660655451e-11,1.1378143660655451e-11,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,A,1.7068657598429127e-10,1.7068657598429127e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,B,6.928360107849585e-10,6.928360107849585e-10,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,alpha,1.4101820070090026e-08,1.4101820070090026e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,beta,-1.3884538680077095e-08,1.3884538680077095e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,E,-1.8134080693344866e-09,1.8134080693344866e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,A,-9.27384746773896e-09,9.27384746773896e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,B,-9.094620168070833e-09,9.094620168070833e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,alpha,2.8210767055725228e-09,2.8210767055725228e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,beta,-6.532623904186333e-09,6.532623904186333e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,E,-5.3756473302989315e-09,5.3756473302989315e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,A,-2.161482370865997e-08,2.161482370865997e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,B,-2.1381410419962776e-08,2.1381410419962776e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,alpha,-4.86496148026148e-09,4.86496148026148e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,beta,-4.919004272008556e-09,4.919004272008556e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,E,-7.692015335003457e-08,7.692015335003457e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,A,-3.947732238884783e-07,3.947732238884783e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,B,-3.893547955158283e-07,3.893547955158283e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,alpha,-8.277672454292154e-08,8.277672454292154e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,beta,-8.239165622160638e-08,8.239165622160638e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,E,-1.6062391390660303e-07,1.6062391390660303e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,A,-9.535257622853646e-07,9.535257622853646e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,B,-1.65387294628597e-06,1.65387294628597e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,alpha,-1.6400346766917214e-07,1.6400346766917214e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,beta,-3.1322089763133724e-07,3.1322089763133724e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,E,-8.7884991854647e-10,8.7884991854647e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,A,2.231831517496548e-09,2.231831517496548e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,B,-6.715606346591833e-08,6.715606346591833e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,alpha,2.497609961986146e-09,2.497609961986146e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,beta,-1.4245073374853841e-08,1.4245073374853841e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,E,-9.9363252668529e-09,9.9363252668529e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,A,-2.2804227098087122e-07,2.2804227098087122e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,B,2.556688124203899e-07,2.556688124203899e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,alpha,-3.47908630009683e-08,3.47908630009683e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,beta,3.7104129292840423e-08,3.7104129292840423e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,E,-3.682091843786606e-07,3.682091843786606e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,A,-7.65145427332153e-09,7.65145427332153e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,B,-4.374670498211675e-06,4.374670498211675e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,alpha,1.2042148324261059e-08,1.2042148324261059e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,beta,-8.828546425667026e-07,8.828546425667026e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,E,-4.14349291235509e-08,4.14349291235509e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,A,-9.096144310213161e-08,9.096144310213161e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,B,-2.8476901663516074e-07,2.8476901663516074e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,alpha,-1.7000828849275834e-08,1.7000828849275834e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,beta,-5.761373521119748e-08,5.761373521119748e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,E,-2.399600965004982e-07,2.399600965004982e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,A,-1.4464662958216006e-06,1.4464662958216006e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,B,-1.369778161524777e-06,1.369778161524777e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,alpha,-2.6985284921653874e-07,2.6985284921653874e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,beta,-2.856165502519912e-07,2.856165502519912e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,E,7.055777395615723e-08,7.055777395615723e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,A,4.828352171275547e-07,4.828352171275547e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,B,3.266451079535799e-07,3.266451079535799e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,alpha,9.816714434804526e-08,9.816714434804526e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,beta,6.203097559419136e-08,6.203097559419136e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,E,2.6476772122549785e-07,2.6476772122549785e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,A,1.3972649179415714e-06,1.3972649179415714e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,B,-5.019664564538684e-06,5.019664564538684e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,alpha,5.212503957874967e-07,5.212503957874967e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,beta,-9.542984259956555e-07,9.542984259956555e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,E,7.428219774985509e-09,7.428219774985509e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,A,5.439179465532458e-08,5.439179465532458e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,B,7.836397461731364e-08,7.836397461731364e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,alpha,1.0605519730396106e-08,1.0605519730396106e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,beta,1.4587517701717242e-08,1.4587517701717242e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,E,-1.0863221170735582e-06,1.0863221170735582e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,A,-5.025537529431e-06,5.025537529431e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,B,-6.57143846770159e-06,6.57143846770159e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,alpha,-9.617568179762387e-07,9.617568179762387e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,beta,-1.331816125636566e-06,1.331816125636566e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,E,3.3627395411303546e-07,3.3627395411303546e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,A,-4.958194484904348e-07,4.958194484904348e-07,False
