method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,alpha,3.6402817140607764e-06,3.6402817140607764e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,beta,8.765411693969421e-07,8.765411693969421e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,E,1.596077642175556e-08,1.596077642175556e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,A,1.3421491672716002e-05,1.3421491672716002e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,B,-1.2247902702711144e-05,1.2247902702711144e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,alpha,2.792715968874358e-06,2.792715968874358e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,beta,-2.5620734745238163e-06,2.5620734745238163e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,E,-1.3305909168695895e-06,1.3305909168695895e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,A,-5.944115571310249e-06,5.944115571310249e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,B,8.950469947421879e-07,8.950469947421879e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,alpha,-1.4133586594984458e-06,1.4133586594984458e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,beta,7.354568567056079e-08,7.354568567056079e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,E,2.0859514641561083e-06,2.0859514641561083e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,A,1.2437673959198038e-05,1.2437673959198038e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,B,4.471050033316715e-06,4.471050033316715e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,alpha,2.6865829811713537e-06,2.6865829811713537e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,beta,9.88950641808258e-07,9.88950641808258e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,E,3.5520633114665493e-08,3.5520633114665493e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,A,1.926265724705445e-08,1.926265724705445e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,B,3.6264779623707e-08,3.6264779623707e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,alpha,9.896689202915445e-09,9.896689202915445e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,beta,1.3741481071307252e-08,1.3741481071307252e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,E,-2.2292828989769689e-07,2.2292828989769689e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,A,-2.2791011702555072e-05,2.2791011702555072e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,B,1.5314539698231343e-05,1.5314539698231343e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,alpha,-4.482514849498098e-06,4.482514849498098e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,beta,3.1100615337033484e-06,3.1100615337033484e-06,False
