source,provenance,dataset,model,condition,experiment,tokens,params,budget,loss
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,36136939615.8,1383625745.0572462,3e+20,0.767316282289
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,40850504186.5,1223975101.304225,3e+20,0.767795509052
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,46978145599.5,1064324684.6365975,3e+20,0.770857178755
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,48905474139.8,1022380436.5350024,3e+20,0.771621374836
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,55574474278.8,899693621.0168253,3e+20,0.774955567112
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,58977028745.2,847787707.5838512,3e+20,0.773937812108
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,13623491804.2,7340262058.892338,6e+20,0.76791951911
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,23494695109.7,4256279961.6290436,6e+20,0.753681706087
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,33461511570.2,2988508148.838606,6e+20,0.748081775254
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,43249685506.9,2312155541.2014756,6e+20,0.747835253934
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,47844301525.9,2090113071.164098,6e+20,0.748611049349
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,50458045230.9,1981844511.4627824,6e+20,0.749013055444
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,53217498250.4,1879081191.1051898,6e+20,0.749170364707
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,53585679124.4,1866170246.118341,6e+20,0.749270394028
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,60892895909.8,1642227693.4920113,6e+20,0.751791255646
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,67731526601.8,1476417334.9865472,6e+20,0.751878707536
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,72274385762.8,1383616047.989584,6e+20,0.75360637525
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,81701579426.6,1223966546.324103,6e+20,0.755530777301
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,16894247873.6,9865290713.954205,1e+21,0.755473496338
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,22173761358.8,7516391286.520383,1e+21,0.74695995194
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,33447428292.2,4982944135.813683,1e+21,0.738834401731
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,39158027497.3,4256257971.067581,1e+21,0.73758517871
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,49208297872.5,3386962643.9529448,1e+21,0.736445695535
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,64349486985.8,2590023238.3118296,1e+21,0.736337715856
llama3,llama3,llama_3,llama_3,raw_loss,llama3__llama_3__raw_loss,72083181604.2,2312143595.1844234,1e+21,0.736993215531
